,EMPRESA_ID,RAZAO SOCIAL,NOME FANTASIA,ENDERECO,ENDERECO NUMERO,ENDERECO COMPLEMENTO,BAIRRO,CIDADE,ESTADO,CEP,TAMANHO,CAPITAL SOCIAL,FATURAMENTO,FUNCIONARIOS,DATA DE ABERTURA,TIPO DE UNIDADE,SITUACAO,ATIVIDADE PRINCIPAL,NATUREZA JURIDICA,TELEFONE 1,TELEFONE 2,TELEFONE 3,TELEFONE 4,TELEFONE 5,WEBSITE 1,WEBSITE 2,WEBSITE 3,WEBSITE 4,WEBSITE 5
2372,EMPRESA_ID_3133,EMPRESA 3133,NOME FANTASIA 3133,ENDERECO 3133,NUMERO 3133,COMPLEMENTO 3133,BAIRRO 3133,PORTO ALEGRE,RS,CEP 3133,MEDIO,R$ 0 - R$ 50 K,130000100.0,11 - 50,12/23/1983,MATRIZ,ATIVA,Comércio atacadista de medicamentos e drogas de uso humano,Empresa Privada,TELEFONE 1_EMPRESA_3133,TELEFONE 2_EMPRESA_3133,,,,WEBSITE 1_EMPRESA_3133,WEBSITE 2_EMPRESA_3133,WEBSITE 3_EMPRESA_3133,WEBSITE 4_EMPRESA_3133,WEBSITE 5_EMPRESA_3133
2373,EMPRESA_ID_3134,EMPRESA 3134,NOME FANTASIA 3134,ENDERECO 3134,NUMERO 3134,COMPLEMENTO 3134,BAIRRO 3134,PORTO ALEGRE,RS,CEP 3134,PEQUENO,"R$ 501 - R$ 2,5 M",18000100.0,0 - 3,01/01/1970,MATRIZ,ATIVA,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente",Empresa Privada,TELEFONE 1_EMPRESA_3134,TELEFONE 2_EMPRESA_3134,TELEFONE 3_EMPRESA_3134,TELEFONE 4_EMPRESA_3134,TELEFONE 5_EMPRESA_3134,WEBSITE 1_EMPRESA_3134,WEBSITE 2_EMPRESA_3134,WEBSITE 3_EMPRESA_3134,WEBSITE 4_EMPRESA_3134,WEBSITE 5_EMPRESA_3134
2374,EMPRESA_ID_3135,EMPRESA 3135,NOME FANTASIA 3135,ENDERECO 3135,NUMERO 3135,COMPLEMENTO 3135,BAIRRO 3135,ESTEIO,RS,CEP 3135,DEMAIS,R$ 10 M - R$ 50 M,130000100.0,11 - 50,08/27/2018,FILIAL,ATIVA,Incorporação de empreendimentos imobiliários,Empresa Privada,TELEFONE 1_EMPRESA_3135,TELEFONE 2_EMPRESA_3135,,,,,,,,
2375,EMPRESA_ID_3136,EMPRESA 3136,NOME FANTASIA 3136,ENDERECO 3136,NUMERO 3136,COMPLEMENTO 3136,BAIRRO 3136,GRAVATAI,RS,CEP 3136,PEQUENO,R$ 0 - R$ 50 K,18000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Fabricação de outros produtos de metal não especificados anteriormente,Empresa Privada,TELEFONE 1_EMPRESA_3136,TELEFONE 2_EMPRESA_3136,TELEFONE 3_EMPRESA_3136,TELEFONE 4_EMPRESA_3136,,WEBSITE 1_EMPRESA_3136,,,,
2376,EMPRESA_ID_3137,EMPRESA 3137,NOME FANTASIA 3137,ENDERECO 3137,NUMERO 3137,COMPLEMENTO 3137,BAIRRO 3137,SALGADO,SE,CEP 3137,DEMAIS,R$ 51K - R$ 250 K,5000000100.0,51 - 200,05/31/2016,FILIAL,ATIVA,Fabricação de calçados de couro,Empresa Privada,TELEFONE 1_EMPRESA_3137,,,,,,,,,
2377,EMPRESA_ID_3138,EMPRESA 3138,NOME FANTASIA 3138,ENDERECO 3138,NUMERO 3138,COMPLEMENTO 3138,BAIRRO 3138,CAXIAS DO SUL,RS,CEP 3138,MEDIO,R$ 51K - R$ 250 K,36000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Atividades de contabilidade,Empresa Privada,TELEFONE 1_EMPRESA_3138,TELEFONE 2_EMPRESA_3138,TELEFONE 3_EMPRESA_3138,TELEFONE 4_EMPRESA_3138,TELEFONE 5_EMPRESA_3138,WEBSITE 1_EMPRESA_3138,WEBSITE 2_EMPRESA_3138,,,
2378,EMPRESA_ID_3139,EMPRESA 3139,NOME FANTASIA 3139,ENDERECO 3139,NUMERO 3139,COMPLEMENTO 3139,BAIRRO 3139,FARROUPILHA,RS,CEP 3139,MEDIO,R$ 0 - R$ 50 K,36000100.0,4 - 10,01/01/1970,MATRIZ,ATIVA,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",Empresa Privada,TELEFONE 1_EMPRESA_3139,TELEFONE 2_EMPRESA_3139,TELEFONE 3_EMPRESA_3139,TELEFONE 4_EMPRESA_3139,TELEFONE 5_EMPRESA_3139,WEBSITE 1_EMPRESA_3139,WEBSITE 2_EMPRESA_3139,,,
2379,EMPRESA_ID_314,EMPRESA 314,NOME FANTASIA 314,ENDERECO 314,NUMERO 314,COMPLEMENTO 314,BAIRRO 314,SAO PAULO,SP,CEP 314,MEDIO,R$ 10 M - R$ 50 M,400000100.0,51 - 200,05/22/2009,FILIAL,ATIVA,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",Empresa Privada,TELEFONE 1_EMPRESA_314,,,,,WEBSITE 1_EMPRESA_314,,,,
2380,EMPRESA_ID_3140,EMPRESA 3140,NOME FANTASIA 3140,ENDERECO 3140,NUMERO 3140,COMPLEMENTO 3140,BAIRRO 3140,CURITIBA,PR,CEP 3140,PEQUENO,R$ 10 M - R$ 50 M,3200000100.0,51 - 200,01/01/1970,MATRIZ,ATIVA,Serviços de tomografia,Empresa Privada,TELEFONE 1_EMPRESA_3140,TELEFONE 2_EMPRESA_3140,TELEFONE 3_EMPRESA_3140,TELEFONE 4_EMPRESA_3140,,,,,,
2381,EMPRESA_ID_3141,EMPRESA 3141,NOME FANTASIA 3141,ENDERECO 3141,NUMERO 3141,COMPLEMENTO 3141,BAIRRO 3141,VIAMAO,RS,CEP 3141,PEQUENO,"R$ 501 - R$ 2,5 M",1700000100.0,51 - 200,09/19/1994,MATRIZ,ATIVA,Testes e análises técnicas,Empresa Privada,TELEFONE 1_EMPRESA_3141,TELEFONE 2_EMPRESA_3141,TELEFONE 3_EMPRESA_3141,,,WEBSITE 1_EMPRESA_3141,,,,
2382,EMPRESA_ID_3142,EMPRESA 3142,NOME FANTASIA 3142,ENDERECO 3142,NUMERO 3142,COMPLEMENTO 3142,BAIRRO 3142,CACHOEIRINHA,RS,CEP 3142,MEDIO,"R$ 501 - R$ 2,5 M",3200000100.0,51 - 200,06/27/1994,MATRIZ,ATIVA,Comércio atacadista de ferragens e ferramentas,Empresa Privada,TELEFONE 1_EMPRESA_3142,TELEFONE 2_EMPRESA_3142,TELEFONE 3_EMPRESA_3142,TELEFONE 4_EMPRESA_3142,,WEBSITE 1_EMPRESA_3142,WEBSITE 2_EMPRESA_3142,WEBSITE 3_EMPRESA_3142,,
2383,EMPRESA_ID_3143,EMPRESA 3143,NOME FANTASIA 3143,ENDERECO 3143,NUMERO 3143,COMPLEMENTO 3143,BAIRRO 3143,CANOAS,RS,CEP 3143,MICRO,R$ 51K - R$ 250 K,60000100.0,11 - 50,05/17/2005,MATRIZ,ATIVA,Desenvolvimento de programas de computador sob encomenda,Empresa Privada,TELEFONE 1_EMPRESA_3143,TELEFONE 2_EMPRESA_3143,,,,WEBSITE 1_EMPRESA_3143,,,,
2384,EMPRESA_ID_3144,EMPRESA 3144,NOME FANTASIA 3144,ENDERECO 3144,NUMERO 3144,COMPLEMENTO 3144,BAIRRO 3144,CANOAS,RS,CEP 3144,MEDIO,"R$ 501 - R$ 2,5 M",330000100.0,4 - 10,06/17/1983,MATRIZ,ATIVA,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",Empresa Privada,TELEFONE 1_EMPRESA_3144,TELEFONE 2_EMPRESA_3144,TELEFONE 3_EMPRESA_3144,TELEFONE 4_EMPRESA_3144,TELEFONE 5_EMPRESA_3144,WEBSITE 1_EMPRESA_3144,WEBSITE 2_EMPRESA_3144,WEBSITE 3_EMPRESA_3144,WEBSITE 4_EMPRESA_3144,
2385,EMPRESA_ID_3145,EMPRESA 3145,NOME FANTASIA 3145,ENDERECO 3145,NUMERO 3145,COMPLEMENTO 3145,BAIRRO 3145,SAO LEOPOLDO,RS,CEP 3145,PEQUENO,R$ 51K - R$ 250 K,60000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,"Fabricação de aparelhos e equipamentos de medida, teste e controle",Empresa Privada,TELEFONE 1_EMPRESA_3145,,,,,,,,,
